Skill 1 Ataque: Damage Formula: a.atk * 4 - b.def * 2
Skill 3 Ataque Contínuo: Damage Formula: a.atk * 4 - b.def * 2
Skill 4 Ataque Doble: Damage Formula: a.atk * 4 - b.def * 2
Skill 5 Ataque Triple: Damage Formula: a.atk * 4 - b.def * 2
Skill 8 Aliento de fuego: Damage Formula: a.atk
Skill 9 Aliento de Hielo: Damage Formula: a.atk
Skill 10 Aliento Eléctrico: Damage Formula: a.atk
Skill 21 Carga: Damage Formula: a.atk * 4 - b.def * 2
Skill 23 Vampiro: Damage Formula: a.atk * 2 - b.def
Skill 24 Meditar: Damage Formula: b.mhp / 4
Skill 26 Cura: Damage Formula: 250 + a.mat
Skill 27 Cura II: Damage Formula: 1000 + a.mat * 2
Skill 28 Cura III: Damage Formula: 4000 + a.mat * 4
Skill 29 Sanación: Damage Formula: 250 + a.mat
Skill 30 Sanación II: Damage Formula: 1000 + a.mat * 2
Skill 33 Resurrección: Damage Formula: b.mhp / 10
Skill 34 Resurrección II: Damage Formula: b.mhp / 2
Skill 49 Drenar Vida: Damage Formula: 200 + a.mat * 4 - b.mdf * 2
Skill 50 Drenar Mana: Damage Formula: 20 + a.mat - b.mdf * 0.5
Skill 51 Fuego : Damage Formula: 150 + a.mat * 2 - b.mdf * 2
Skill 52 Fuego II: Damage Formula: 400 + a.mat * 2 - b.mdf * 2
Skill 53 Llamarada: Damage Formula: 150 + a.mat * 2 - b.mdf * 2
Skill 54 Llamarada II: Damage Formula: 400 + a.mat * 2 - b.mdf * 2
Skill 55 Hielo: Damage Formula: 150 + a.mat * 2 - b.mdf * 2
Skill 56 Hielo II: Damage Formula: 400 + a.mat * 2 - b.mdf * 2
Skill 57 Ventisca : Damage Formula: 150 + a.mat * 2 - b.mdf * 2
Skill 58 Ventisca II: Damage Formula: 400 + a.mat * 2 - b.mdf * 2
Skill 59 Trueno: Damage Formula: 200 + a.mat * 2 - b.mdf * 2
Skill 60 Trueno II: Damage Formula: 500 + a.mat * 2 - b.mdf * 2
Skill 61 Tormenta: Damage Formula: 200 + a.mat * 2 - b.mdf * 2
Skill 62 Tormenta II: Damage Formula: 500 + a.mat * 2 - b.mdf * 2
Skill 63 Agua: Damage Formula: 300 + a.mat * 2 - b.mdf * 2
Skill 64 Oleada: Damage Formula: 150 + a.mat * 2 - b.mdf * 2
Skill 65 Piedra: Damage Formula: 300 + a.mat * 2 - b.mdf * 2
Skill 66 Terremoto: Damage Formula: 150 + a.mat * 2 - b.mdf * 2
Skill 67 Viento: Damage Formula: 300 + a.mat * 2 - b.mdf * 2
Skill 68 Tornado: Damage Formula: 300 + a.mat * 2 - b.mdf * 2
Skill 69 Santo: Damage Formula: 400 + a.mat * 2 - b.mdf * 2
Skill 70 Sacramento: Damage Formula: 400 + a.mat * 2 - b.mdf * 2
Skill 71 Sombra: Damage Formula: 400 + a.mat * 2 - b.mdf * 2
Skill 72 Oscuridad: Damage Formula: 400 + a.mat * 2 - b.mdf * 2
Skill 73 Explosión: Damage Formula: 300 + a.mat * 2
Skill 74 Nuclear: Damage Formula: 300 + a.mat * 2
Skill 80 Ataque Poderoso: Damage Formula: a.atk * 5 - b.def * 2
Skill 81 Ataque Onda: Damage Formula: a.atk * 2 - b.def * 2
Skill 83 Danza del Berserker: Damage Formula: a.atk * 5 - b.def * 2
Skill 84 Masacre: Damage Formula: a.atk * 12 - b.def * 6
Skill 85 Placaje: Damage Formula: a.atk * 4 + a.def * 2 - b.def * 2
Skill 88 Patada Sin Sombra: Damage Formula: a.atk * 5
Skill 89 Garra del Dragón: Damage Formula: a.atk * 12
Skill 94 Tormenta Metal: Damage Formula: a.atk * 5 - b.def * 2
Skill 95 Hoja Silenciosa: Damage Formula: a.atk * 4 + a.mat * 3 - b.def - b.mdf
Skill 99 Hoja Radiante: Damage Formula: a.atk * 5 + a.mat * 5 - b.def - b.mdf
Skill 100 Penetración: Damage Formula: a.atk * 4
Skill 103 Orgullo: Damage Formula: a.atk * 3 - b.def * 2
Skill 104 Hoja Invisible: Damage Formula: a.atk * 4 - b.def * 2
Skill 105 Romper Arma: Damage Formula: a.atk * 4 - b.def * 2
Skill 106 Romper Armadura: Damage Formula: a.atk * 4 - b.def * 2
Skill 108 Disparo Triple: Damage Formula: a.atk * 4 + a.agi * 2 - b.def * 2
Skill 109 Mil Flechas: Damage Formula: a.atk * 3 + a.agi * 2 - b.def * 2
Skill 113 Hoja del Asesino: Damage Formula: a.atk * 3 + a.luk * 4 - b.def * 2
Skill 114 Danza Mortal: Damage Formula: a.atk * 2 + a.luk * 4 - b.def * 2
Skill 117 Ira de Dios: Damage Formula: a.mat * 5 - b.mdf
Skill 122 Torrente Mágico: Damage Formula: b.mmp * 0.5
Skill 128 Integral por partes: Damage Formula: a.atk * 4 - b.def * 2
Skill 130 Sucesión de Fuego: Damage Formula: 150 + a.mat * 2 - b.mdf * 2
Skill 132 Violación: Damage Formula: a.atk * 4 - b.def * 2
Skill 133 Ruby on Rails: Damage Formula: 100 + a.mat * 2 - b.mdf * 2
Troop 61 Ifrit  Page 1 Line 1:  - Script call: weather(3, 6, "Rain_01B")
Common Event 1 Elegir jugador Line 3:  - Script call: disable_choice(1,"$game_switches[29]")
Common Event 1 Elegir jugador Line 4:  - Script call: disable_choice(2,"$game_switches[39]")
Common Event 1 Elegir jugador Line 5:  - Script call: disable_choice(3,"$game_switches[65]")
Common Event 2 Mientras en la ETSIIT Line 24:  - Script call: $game_party.clear_missions()
Map 1 ETSIIT - Event 12 EV012 (5,6) - Page 1 Line 9:  - Script call: $game_party.add_mis(2)
Map 1 ETSIIT - Event 18 EV018 (20,18) - Page 1 Line 198:  - Script call: $game_party.comp_mis(10)
Map 1 ETSIIT - Event 18 EV018 (20,18) - Page 1 Line 199:  - Script call: $game_party.add_mis(11)
Map 3 Bosque - Event 7 EV007 (12,72) - Page 1 Line 21:  - Script call: $game_party.add_mis(6)
Map 4 Cafeteria - Event 12 EV012 (21,4) - Page 1 Line 114:  - Script call: $game_party.comp_mis(2)
Map 4 Cafeteria - Event 12 EV012 (21,4) - Page 1 Line 115:  - Script call: $game_party.add_mis(3)
Map 5 Entrada - Event 61 Juanfran (11,12) - Page 1 Line 59:  - Script call: $game_party.add_mis(4)
Map 8 Salón de Actos - Event 136 Mantas (16,7) - Page 1 Line 303:  - Script call: $game_party.comp_mis(4)
Map 8 Salón de Actos - Event 143 EV143 (27,26) - Page 1 Line 87:  - Script call: $game_party.add_comp_obj(9, 1)
Map 8 Salón de Actos - Event 143 EV143 (27,26) - Page 1 Line 88:  - Script call: $game_party.comp_mis(9)
Map 8 Salón de Actos - Event 143 EV143 (27,26) - Page 1 Line 89:  - Script call: $game_party.add_mis(10)
Map 9 Biblioteca - Event 21 Juanfran (54,11) - Page 1 Line 96:  - Script call: $game_party.comp_mis(3)
Map 9 Biblioteca - Event 25 EV025 (15,13) - Page 1 Line 13:  - Script call: $game_party.add_comp_obj(11, 0)
Map 9 Biblioteca - Event 25 EV025 (15,13) - Page 1 Line 14:  - Script call: $game_party.add_obj(11, 1)
Map 12 Aula - Event 18 EV018 (10,5) - Page 1 Line 36:  - Script call: $game_party.clear_missions()
Map 12 Aula - Event 18 EV018 (10,5) - Page 1 Line 37:  - Script call: $game_party.add_mis(9)
Map 15 Sótano Secreto - Event 1 EV001 (19,88) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 2 EV002 (10,93) - Page 1 Line 18:  - Script call: $game_party.add_mis(18)
Map 15 Sótano Secreto - Event 3 EV003 (25,88) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 4 EV004 (30,92) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 5 EV005 (35,88) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 6 EV006 (41,90) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 7 EV007 (37,92) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 8 EV008 (41,77) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 9 EV009 (37,74) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 10 EV010 (27,76) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 11 EV011 (25,78) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 12 EV012 (29,78) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 13 EV013 (18,73) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 14 EV014 (12,73) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 15 EV015 (17,78) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 16 EV016 (11,77) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 17 EV017 (14,56) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 18 EV018 (9,54) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 19 EV019 (26,64) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 20 EV020 (25,60) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 21 EV021 (26,54) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 22 EV022 (31,55) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 24 EV024 (40,39) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 25 EV025 (37,41) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 26 EV026 (29,38) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 27 EV027 (29,43) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
Map 15 Sótano Secreto - Event 28 EV028 (16,40) - Page 1 Line 1:  - Conditional Branch script call: svision?(3)
